,t-5,t-4,t-3,t-2,t-1,target
191,52.2,52.2,49.09,54.06,49.71,50.95
192,52.2,49.09,54.06,49.71,50.95,52.2
193,49.09,54.06,49.71,50.95,52.2,55.92
194,54.06,49.71,50.95,52.2,55.92,47.85
195,49.71,50.95,52.2,55.92,47.85,55.92
196,50.95,52.2,55.92,47.85,55.92,52.2
197,52.2,55.92,47.85,55.92,52.2,52.2
198,55.92,47.85,55.92,52.2,52.2,50.95
199,47.85,55.92,52.2,52.2,50.95,50.95
200,55.92,52.2,52.2,50.95,50.95,49.71
201,52.2,52.2,50.95,50.95,49.71,54.06
202,52.2,50.95,50.95,49.71,54.06,49.71
203,50.95,50.95,49.71,54.06,49.71,50.95
204,50.95,49.71,54.06,49.71,50.95,45.98
205,49.71,54.06,49.71,50.95,45.98,52.2
206,54.06,49.71,50.95,45.98,52.2,52.2
207,49.71,50.95,45.98,52.2,52.2,52.82
208,50.95,45.98,52.2,52.2,52.82,52.2
209,45.98,52.2,52.2,52.82,52.2,49.09
210,52.2,52.2,52.82,52.2,49.09,52.2
211,52.2,52.82,52.2,49.09,52.2,50.95
212,52.82,52.2,49.09,52.2,50.95,47.85
213,52.2,49.09,52.2,50.95,47.85,52.2
214,49.09,52.2,50.95,47.85,52.2,50.95
215,52.2,50.95,47.85,52.2,50.95,47.85
216,50.95,47.85,52.2,50.95,47.85,54.06
217,47.85,52.2,50.95,47.85,54.06,49.71
218,52.2,50.95,47.85,54.06,49.71,52.2
219,50.95,47.85,54.06,49.71,52.2,52.2
220,47.85,54.06,49.71,52.2,52.2,50.95
221,54.06,49.71,52.2,52.2,50.95,52.2
222,49.71,52.2,52.2,50.95,52.2,54.06
223,52.2,52.2,50.95,52.2,54.06,50.95
224,52.2,50.95,52.2,54.06,50.95,54.06
225,50.95,52.2,54.06,50.95,54.06,50.95
226,52.2,54.06,50.95,54.06,50.95,52.2
227,54.06,50.95,54.06,50.95,52.2,52.82
228,50.95,54.06,50.95,52.2,52.82,54.06
229,54.06,50.95,52.2,52.82,54.06,52.82
230,50.95,52.2,52.82,54.06,52.82,54.06
231,52.2,52.82,54.06,52.82,54.06,49.09
232,52.82,54.06,52.82,54.06,49.09,49.71
233,54.06,52.82,54.06,49.09,49.71,54.06
234,52.82,54.06,49.09,49.71,54.06,55.3
235,54.06,49.09,49.71,54.06,55.3,52.2
236,49.09,49.71,54.06,55.3,52.2,52.82
237,49.71,54.06,55.3,52.2,52.82,52.82
238,54.06,55.3,52.2,52.82,52.82,52.2
239,55.3,52.2,52.82,52.82,52.2,52.82
240,52.2,52.82,52.82,52.2,52.82,54.06
241,52.82,52.82,52.2,52.82,54.06,54.06
242,52.82,52.2,52.82,54.06,54.06,55.3
243,52.2,52.82,54.06,54.06,55.3,55.3
244,52.82,54.06,54.06,55.3,55.3,54.06
245,54.06,54.06,55.3,55.3,54.06,45.98
246,54.06,55.3,55.3,54.06,45.98,52.2
247,55.3,55.3,54.06,45.98,52.2,50.95
248,55.3,54.06,45.98,52.2,50.95,45.98
